name,country,primary_fuel,commissioning_year,extracted_gdp
PILAR ZANICHELLI,ARG,Coal,1971,33293199095.4881
PLANICIE BANDERITA,ARG,Hydro,1979,69252328951.6441
PUEBLO VIEJO,ARG,Hydro,1967,24256667553.2569
PUERTO NUEVO,ARG,Coal,1965,28344705966.6389
QUEBRADA DE ULLUM,ARG,Hydro,1981,78676842366.5529
RIO CORRALITO,ARG,Hydro,1962,24450604877.6081
RIO CUARTO,ARG,Gas,1974,72436777342.4554
RIO GRANDE,ARG,Hydro,1986,105872372613.857
RIO HONDO,ARG,Hydro,1976,51169499892.1722
SALTO ANDERSEN,ARG,Hydro,2012,545982375701.128
SALTO GRANDE (MITAD ARGENTINA),ARG,Hydro,1980,76961923741.0701
SAN FRANCISCO,ARG,Gas,1978,89049453088.3282
SAN NICOLAS,ARG,Coal,1965,28344705966.6389
SORRENTO,ARG,Coal,1962,24450604877.6081
SUDOESTE,ARG,Gas,1981,78676842366.5529
TENARIS SIDERCA CETE II,ARG,Gas,1998,298948250000.0
URUGUA-I,ARG,Hydro,1991,189719984268.485
VILLA MARIA (LAS PLAYAS),ARG,Gas,1971,33293199095.4881
YACYRETA,ARG,Hydro,1995,258031750000.0
New Yerevan,ARM,Gas,2010,9260285762.09704
Abwinden-Asten,AUT,Hydro,1980,82058912997.2346
Aschach,AUT,Hydro,1964,9169983885.71185
Bischofshofen,AUT,Hydro,1986,99036164939.1618
Donaustadt,AUT,Gas,2001,197508773215.323
Erzbach,AUT,Hydro,1986,99036164939.1618
Feistritz-Ludmannsdorf,AUT,Hydro,1968,12440625312.8685
Feldkirchen,AUT,Hydro,1970,15373005557.0257
Ferlach Maria Rain,AUT,Hydro,1975,40059206763.056
Fisching,AUT,Hydro,1994,203535242741.838
Freudenau Danube,AUT,Hydro,1998,218259904401.956
Friesach,AUT,Hydro,1998,218259904401.956
Funsingau,AUT,Hydro,1968,12440625312.8685
Gabersdorf,AUT,Hydro,1974,35189299911.6608
Greifenstein,AUT,Hydro,1985,69386774408.0872
KW Amlach,AUT,Hydro,1989,133105805512.22
KW Kaunertal,AUT,Hydro,1964,9169983885.71185
KW Kühtai,AUT,Hydro,1981,71034228443.062
KW Silz,AUT,Hydro,1981,71034228443.062
Kaprun Limberg II,AUT,Hydro,2011,431685217367.514
Kellerberg,AUT,Hydro,1985,69386774408.0872
Klaus,AUT,Hydro,1975,40059206763.056
Kopswerk II,AUT,Hydro,2008,432051935642.945
Kreuzbergmaut,AUT,Hydro,1996,237250948791.266
Krippau,AUT,Hydro,1965,9994070615.85997
Landl,AUT,Hydro,1967,11579431668.9165
Lebring,AUT,Hydro,1988,133339397080.129
Leoben,AUT,Hydro,2005,316092273276.015
Losenstein,AUT,Hydro,1962,7756110210.11966
Malta Secondary school,AUT,Hydro,1979,73937296963.4586
Malta main stage,AUT,Hydro,1979,73937296963.4586
Mandling,AUT,Hydro,1985,69386774408.0872
Mayrhofen,AUT,Hydro,1977,51545758887.6863
Melk,AUT,Hydro,1982,71275287569.5733
Mellach run power plant,AUT,Hydro,1985,69386774408.0872
Nussdorf near Vienna,AUT,Hydro,2005,316092273276.015
Oberaudorf Ebbs,AUT,Hydro,1992,195078126721.763
Obervogau,AUT,Hydro,1978,62052259073.2493
Ottensheim-Wilhering,AUT,Hydro,1975,40059206763.056
Passau-Ingling,AUT,Hydro,1966,10887682273.1014
Paternion,AUT,Hydro,1988,133339397080.129
Peggau,AUT,Hydro,1965,9994070615.85997
Pernegg,AUT,Hydro,2013,430190979705.965
Pichlern,AUT,Hydro,2005,316092273276.015
Rabenstein,AUT,Hydro,1987,124168442533.74
Retznei,AUT,Hydro,1992,195078126721.763
Rodundwerk II,AUT,Hydro,1976,42959976221.5234
Rosegg-St. James,AUT,Hydro,1974,35189299911.6608
Schonau,AUT,Hydro,1972,22059612476.9332
Simmering,AUT,Gas,2009,401758735822.211
St. Georgen,AUT,Hydro,1985,69386774408.0872
St. Johann,AUT,Hydro,1991,173794177961.108
St. Martin,AUT,Hydro,1965,9994070615.85997
St. Pantaleon,AUT,Hydro,1966,10887682273.1014
St. Veit,AUT,Hydro,1989,133105805512.22
Steinfeld,AUT,Hydro,1963,8374175257.73075
Timelkam,AUT,Gas,2008,432051935642.945
Triebenbach,AUT,Hydro,1995,241038283062.645
Urreiting,AUT,Hydro,1986,99036164939.1618
Vienna-Freudenau,AUT,Hydro,1999,217259147049.954
Villach,AUT,Hydro,1984,67985344886.8716
Walgauwerk,AUT,Hydro,1984,67985344886.8716
Wallnerau Salzach stage,AUT,Hydro,1990,166463386179.354
Wallnerau underwater stage,AUT,Hydro,1989,133105805512.22
Wallsee-Mitterkirchen,AUT,Hydro,1969,13582798556.2404
Weissenegg,AUT,Hydro,1985,69386774408.0872
Werfen-Pfarrwerfen,AUT,Hydro,2009,401758735822.211
Weyer,AUT,Hydro,1969,13582798556.2404
Wind Park Bruck an der Leitha,AUT,Wind,2000,197289625479.906
Wind Park Hollern II,AUT,Wind,2014,442584815286.027
Windpark Bruck-Göttlesbrunn,AUT,Wind,2015,381971148530.543
Astara ES,AZE,Gas,2006,20981929497.6188
Baku ES,AZE,Gas,2007,33049426816.4448
Baku TEC,AZE,Gas,2000,5272617196.04517
Gusar,AZE,Hydro,2012,69679913509.9091
Janub,AZE,Gas,2013,74160553008.7311
Khachmaz ES,AZE,Gas,2006,20981929497.6188
Sangachal ES,AZE,Gas,2008,48851318825.7152
Shimal,AZE,Gas,2002,6236086669.17539
Sumqayit,AZE,Gas,2009,44292408816.638
Yenikend,AZE,Hydro,2000,5272617196.04517
Al Dur Power and Water,BHR,Gas,2012,30749308510.6383
Al Ezzel Power Station,BHR,Gas,2007,21730000000.0
Hawar Power ad Water Station,BHR,Oil,1985,3651861702.12766
Hidd Power and Water station 1,BHR,Gas,1999,6621010739.19607
Amnura,BGD,Oil,2011,128637983882.833
Baghabari GT 1,BGD,Gas,1999,51270569883.5275
Barabkunda (Regent),BGD,Oil,2016,265236389198.948
Barishal GT-unit-1 2,BGD,Gas,1987,24298032258.0645
Bera Peaking,BGD,Oil,2011,128637983882.833
Bheramara GT (Unit-1 2 3),BGD,Oil,1976,10117113333.3333
Bhola CCPP GT-1 2 ST,BGD,Gas,2009,102477779060.302
Bogra GBB,BGD,Gas,2009,102477779060.302
Feni (Doreen),BGD,Gas,2009,102477779060.302
Ghorasal ST :Unit-3,BGD,Gas,1986,21774033333.3333
Hathazari,BGD,Oil,2012,133355819704.936
Horippur Power CCPP,BGD,Gas,2008,91631278239.3237
Jangalia (Summit),BGD,Gas,2009,102477779060.302
Jhulda,BGD,Oil,2012,133355819704.936
Kaptai Hydro:Unit-1 2 3 4 5,BGD,Hydro,1962,5081413339.78635
Karanigonj (Powerpac),BGD,Oil,2012,133355819704.936
Meghnaghat CCPP,BGD,Gas,2002,54724081490.5102
Noapara (khanjahan ali),BGD,Oil,2011,128637983882.833
Rangpur GT,BGD,Oil,1988,26579005760.2634
Shiddirganj ST,BGD,Gas,2012,133355819704.936
Ullapara (Summit),BGD,Gas,2009,102477779060.302
AWIRS 4,BEL,Biomass,2005,385714762230.039
Amercoeur 1 R TGV,BEL,Gas,1994,244884129491.198
Belwind Phase 1,BEL,Wind,2010,481420882905.012
DOEL 4,BEL,Nuclear,1985,86268264148.3796
HAM-GENT WKK,BEL,Gas,2006,408259840868.823
HERDERSBRUG STEG,BEL,Gas,1998,258528339631.029
LANGERLO 1,BEL,Coal,1968,21376353113.475
Marcinelle Energie (Carsid),BEL,Gas,2011,523330354138.137
Northwind,BEL,Wind,2013,521791015247.064
RINGVAART STEG,BEL,Gas,1998,258528339631.029
SAINT-GHISLAIN STEG,BEL,Gas,2000,236792460312.471
T-power Beringen,BEL,Gas,2011,523330354138.137
TIHANGE 1N,BEL,Nuclear,1975,65678189097.2908
TIHANGE 3,BEL,Nuclear,1985,86268264148.3796
Thorntonbank - C-Power - Area SW,BEL,Wind,2013,521791015247.064
Zelzate 2 Knippegroen,BEL,Gas,2010,481420882905.012
14 de Julho,BRA,Hydro,2008,1695855391816.48
3M Sumaré,BRA,Oil,2001,559983704075.658
AJ Rorato,BRA,Oil,2012,2465228293862.62
ALLIANZ PARQUE,BRA,Oil,2014,2456043766063.5
ANHANGUERA EDUCACIONAL SA - CAMPO GRANDE,BRA,Oil,2013,2472819362259.0
AREVALE,BRA,Biomass,2014,2456043766063.5
ARS,BRA,Hydro,2009,1666996294324.76
AVG I-II,BRA,Biomass,2009,1666996294324.76
Abatedouro São Salvador,BRA,Oil,2002,509795270707.268
Abranjo I,BRA,Hydro,2014,2456043766063.5
Abrasa,BRA,Hydro,1965,22465522884.0988
Abunã,BRA,Oil,2008,1695855391816.48
Adriana Agrícola,BRA,Oil,2010,2208838108593.19
Aeroporto Internacional Eduardo Gomes,BRA,Oil,1976,153168949208.207
Aeroporto Internacional Pinto Martins - Terminal de Passageiros (TPS-1),BRA,Oil,1998,863711007338.683
Aeroporto Internacional Salgado Filho,BRA,Oil,1993,438299504463.02
Aeroporto Internacional Tancredo Neves,BRA,Oil,1984,188339974086.58
Aeroporto Internacional de Brasília,BRA,Oil,1973,83592275862.9982
Aeroporto Internacional de Congonhas - São Paulo,BRA,Oil,1983,189656506321.431
Aeroporto Internacional de Rio Branco,BRA,Oil,2001,559983704075.658
Aeroporto Internacional de São Paulo/Guarulhos-Central Elétrica de Emergência CEE,BRA,Oil,1985,210879844638.877
Aeroporto Internacional de Viracopos - Campinas,BRA,Oil,1978,200278646123.581
Agostinho Rodrigues,BRA,Hydro,2016,1795693265824.27
Agro Trafo,BRA,Hydro,1992,390566561752.671
Agropéu,BRA,Biomass,2016,1795693265824.27
Agrovale,BRA,Biomass,1979,221338204480.222
Agudo,BRA,Hydro,2016,1795693265824.27
Aguti,BRA,Hydro,2011,2616156606734.51
Ahlstrom,BRA,Gas,2007,1397114247287.58
Aimorés,BRA,Hydro,2005,891633826582.606
Ala Polo,BRA,Oil,2011,2616156606734.51
Albano Machado,BRA,Hydro,2011,2616156606734.51
Albatroz,BRA,Wind,2009,1666996294324.76
Alcoa Beneficiamento,BRA,Oil,2010,2208838108593.19
Alcoa Porto,BRA,Oil,2010,2208838108593.19
Alcon,BRA,Biomass,2001,559983704075.658
Alcoolvale,BRA,Biomass,2002,509795270707.268
Alecrim,BRA,Hydro,1974,109794519727.538
Alegria I,BRA,Wind,2010,2208838108593.19
Alegria II,BRA,Wind,2011,2616156606734.51
Alhandra,BRA,Wind,2011,2616156606734.51
Almirante Álvaro Alberto - Unidade I (Antiga Angra I),BRA,Nuclear,1985,210879844638.877
Almirante Álvaro Alberto - Unidade II (Antiga Angra II),BRA,Nuclear,2000,655448188246.11
Alta Mogiana,BRA,Biomass,1994,546229749726.263
Altero Design,BRA,Oil,2011,2616156606734.51
Alterosa,BRA,Oil,2009,1666996294324.76
Alto Benedito Novo I,BRA,Hydro,2008,1695855391816.48
Alto Brejaúba,BRA,Hydro,2015,1802211999555.59
Alto Fêmeas I,BRA,Hydro,1992,390566561752.671
Alto Irani,BRA,Hydro,2008,1695855391816.48
Alto Paraguai (Pedro Pedrossian),BRA,Hydro,1970,42327664793.6934
Alto Sucuriú,BRA,Hydro,2008,1695855391816.48
Altos,BRA,Oil,2002,509795270707.268
Alumar,BRA,Coal,2009,1666996294324.76
Alunorte,BRA,Coal,2007,1397114247287.58
Alvarães,BRA,Oil,2010,2208838108593.19
Alvorada,BRA,Biomass,2002,509795270707.268
Alvorada,BRA,Wind,2014,2456043766063.5
Amador Aguiar I (Antiga Capim Branco I),BRA,Hydro,2006,1107626711436.44
Amador Aguiar II (Antiga Capim Branco II),BRA,Hydro,2007,1397114247287.58
Amandina,BRA,Biomass,2014,2456043766063.5
Amapá Garden Shopping,BRA,Oil,2013,2472819362259.0
Amaturá,BRA,Oil,2011,2616156606734.51
Ametista,BRA,Wind,2015,1802211999555.59
Amparo,BRA,Wind,2011,2616156606734.51
Anagé,BRA,Hydro,2013,2472819362259.0
Anamã,BRA,Gas,1985,210879844638.877
Angelina (Antiga Portobello - Corredeira do Encano),BRA,Hydro,2010,2208838108593.19
Angical,BRA,Wind,2016,1795693265824.27
Angélica,BRA,Biomass,2009,1666996294324.76
Anhanguera,BRA,Hydro,2010,2208838108593.19
Anori,BRA,Gas,1985,210879844638.877
Antônio Brennand (Antiga  Alto Jauru),BRA,Hydro,2002,509795270707.268
Antônio Dias,BRA,Hydro,2015,1802211999555.59
Aparecida Parte I,BRA,Oil,1997,883206452832.811
Aparecida Parte II,BRA,Oil,1997,883206452832.811
Aparecida Parte III,BRA,Oil,1997,883206452832.811
Apiacás,BRA,Oil,2006,1107626711436.44
Apolônio Sales (Antiga Moxotó),BRA,Hydro,1977,176344101401.941
Aporé,BRA,Hydro,1977,176344101401.941
Apuí,BRA,Oil,1998,863711007338.683
Aquarius,BRA,Hydro,2006,1107626711436.44
Aquibatã,BRA,Wind,2011,2616156606734.51
Aracati,BRA,Oil,2002,509795270707.268
Aracruz,BRA,Biomass,2002,509795270707.268
Araras DPA,BRA,Oil,2015,1802211999555.59
Araras Nescafé,BRA,Oil,2015,1802211999555.59
Aratuá I,BRA,Wind,2012,2465228293862.62
Araucária,BRA,Gas,2002,509795270707.268
Areal,BRA,Hydro,1988,307881930752.268
Areia,BRA,Hydro,2011,2616156606734.51
Areia Branca,BRA,Wind,2014,2456043766063.5
Areia Branca,BRA,Hydro,2010,2208838108593.19
Arembepe (Antiga Camaçari Pólo de Apoio I),BRA,Oil,2010,2208838108593.19
Arizona 1,BRA,Wind,2013,2472819362259.0
Arroio Trinta,BRA,Hydro,2013,2472819362259.0
Arturo Andreoli (Antiga Júlio de Mesquita Filho),BRA,Hydro,2001,559983704075.658
Arvoredo,BRA,Hydro,2010,2208838108593.19
Asa Branca I,BRA,Wind,2015,1802211999555.59
Asa Branca II,BRA,Wind,2015,1802211999555.59
Asa Branca III,BRA,Wind,2015,1802211999555.59
Asa Branca IV,BRA,Wind,2014,2456043766063.5
Asa Branca V,BRA,Wind,2014,2456043766063.5
Asa Branca VI,BRA,Wind,2014,2456043766063.5
Asa Branca VII,BRA,Wind,2014,2456043766063.5
Asa Branca VIII,BRA,Wind,2014,2456043766063.5
Asfor,BRA,Gas,1996,850426432991.742
Aspebras Bahia,BRA,Oil,2013,2472819362259.0
Assembleia Paraense,BRA,Oil,2010,2208838108593.19
Assis Brasil - TECG,BRA,Oil,2016,1795693265824.27
Assis Chateaubriand(Antiga Salto Mimoso),BRA,Hydro,1969,37171640818.5863
Assuruá II,BRA,Wind,2016,1795693265824.27
Assuruá V,BRA,Wind,2016,1795693265824.27
Assuruá VII,BRA,Wind,2016,1795693265824.27
Atacadão Ipiranga,BRA,Oil,2013,2472819362259.0
Atacadão Jacui,BRA,Oil,2010,2208838108593.19
Atacadão Matriz,BRA,Oil,1985,210879844638.877
Atacadão SA Brasilia,BRA,Oil,2008,1695855391816.48
Atacadão SA Cuiaba Porto,BRA,Oil,1986,256480852471.129
Atacadão SA Taguatinga,BRA,Oil,2002,509795270707.268
Atalaia do Norte,BRA,Oil,1994,546229749726.263
Atlântica,BRA,Wind,2009,1666996294324.76
Atlântica I,BRA,Wind,2014,2456043766063.5
Atlântica II,BRA,Wind,2014,2456043766063.5
Atlântica IV,BRA,Wind,2014,2456043766063.5
Atlântica V,BRA,Wind,2013,2472819362259.0
Atos,BRA,Biomass,2014,2456043766063.5
Aura Mangueira XI,BRA,Wind,2017,2063514688761.67
Aura Mangueira XII,BRA,Wind,2017,2063514688761.67
Aura Mangueira XIII,BRA,Wind,2017,2063514688761.67
Aura Mangueira XV,BRA,Wind,2017,2063514688761.67
Aura Mirim IV,BRA,Wind,2017,2063514688761.67
Aureliano Chaves (Antiga Ibirité),BRA,Gas,2002,509795270707.268
Autazes,BRA,Oil,1998,863711007338.683
Autódromo,BRA,Hydro,2011,2616156606734.51
Açominas,BRA,Coal,2002,509795270707.268
BASF ANC,BRA,Oil,1989,412990820287.42
BASF DEM,BRA,Oil,1982,271314113768.417
BASF IND,BRA,Oil,1993,438299504463.02
BASF JAC,BRA,Oil,2000,655448188246.11
BAXTER,BRA,Oil,2003,558233724160.742
BEN Bioenergia,BRA,Biomass,2013,2472819362259.0
BENVETEX TEXTIL,BRA,Oil,2015,1802211999555.59
BIGFER FIXADORES,BRA,Oil,2010,2208838108593.19
BIGFER MATRIZ,BRA,Oil,2009,1666996294324.76
BOULEVARD BELÉM,BRA,Oil,2009,1666996294324.76
BSA SU,BRA,Oil,1975,129203555238.827
BT LATAM - HORTOLANDIA,BRA,Oil,2001,559983704075.658
Baguari,BRA,Hydro,2009,1666996294324.76
Bahia I - Camaçari,BRA,Oil,2002,509795270707.268
Baixa do Feijão I,BRA,Wind,2016,1795693265824.27
Baixa do Feijão II,BRA,Wind,2016,1795693265824.27
Baixa do Feijão III,BRA,Wind,2016,1795693265824.27
Baixa do Feijão IV,BRA,Wind,2016,1795693265824.27
Baixada Fluminense,BRA,Gas,2014,2456043766063.5
Balbina,BRA,Hydro,1989,412990820287.42
Baldin,BRA,Biomass,2010,2208838108593.19
Bambuí,BRA,Biomass,2014,2456043766063.5
Banda de Couro,BRA,Wind,2016,1795693265824.27
Bandeirante,BRA,Hydro,2012,2465228293862.62
Bandeirantes,BRA,Waste,2014,2456043766063.5
Bangu Shopping 2,BRA,Gas,2011,2616156606734.51
Baraúnas I,BRA,Wind,2015,1802211999555.59
Baraúnas II,BRA,Wind,2016,1795693265824.27
Barbosa Lima Sobrinho (Antiga Eletrobolt),BRA,Gas,2001,559983704075.658
Barcelos,BRA,Oil,2002,509795270707.268
Bariri (Álvaro de Souza Lima),BRA,Hydro,1969,37171640818.5863
Barra,BRA,Hydro,2001,559983704075.658
Barra,BRA,Hydro,1986,256480852471.129
Barra Bioenergia,BRA,Biomass,2010,2208838108593.19
Barra Bonita,BRA,Hydro,1963,23287712878.2002
Barra Escondida,BRA,Hydro,2009,1666996294324.76
Barra Grande,BRA,Hydro,2005,891633826582.606
Barra Grande de Lençóis,BRA,Biomass,2003,558233724160.742
Barra da Paciência,BRA,Hydro,2011,2616156606734.51
Barra do Braúna,BRA,Hydro,2009,1666996294324.76
Barra do Rio Chapéu,BRA,Hydro,2013,2472819362259.0
Barra dos Coqueiros,BRA,Hydro,2010,2208838108593.19
Barra dos Coqueiros,BRA,Wind,2012,2465228293862.62
Barralcool,BRA,Biomass,2002,509795270707.268
Batalha (Antiga Paulista),BRA,Hydro,2014,2456043766063.5
Baturité,BRA,Oil,2002,509795270707.268
Bazan,BRA,Biomass,2001,559983704075.658
Baía Formosa,BRA,Biomass,2011,2616156606734.51
Bela União (Trincheira),BRA,Hydro,2015,1802211999555.59
Bela Vista,BRA,Biomass,1977,176344101401.941
Belmonte,BRA,Hydro,2012,2465228293862.62
Belo Jardim,BRA,Oil,2012,2465228293862.62
Belo Monte,BRA,Hydro,2016,1795693265824.27
Bem Brasil,BRA,Biomass,2006,1107626711436.44
Bergamais,BRA,Oil,2012,2465228293862.62
Bergamini,BRA,Oil,2012,2465228293862.62
Bertussi,BRA,Hydro,2011,2616156606734.51
Biancogrês,BRA,Gas,2014,2456043766063.5
Bimbo,BRA,Oil,2009,1666996294324.76
Bimbo do Brasil,BRA,Oil,2010,2208838108593.19
Bio Alvorada,BRA,Biomass,2013,2472819362259.0
Bio Coopcana,BRA,Biomass,2013,2472819362259.0
Bioenergética Aroeira,BRA,Biomass,2014,2456043766063.5
Bioenergética Vale do Paracatu - BEVAP,BRA,Biomass,2011,2616156606734.51
Bioflex Caeté,BRA,Biomass,2014,2456043766063.5
Biolins,BRA,Biomass,2010,2208838108593.19
Biopav II,BRA,Biomass,2012,2465228293862.62
Biotérmica Recreio,BRA,Waste,2015,1802211999555.59
Blanver Cogeração,BRA,Gas,2015,1802211999555.59
Blue Tree Park Angra dos Reis,BRA,Oil,2001,559983704075.658
Boa Esperança (Antiga Castelo Branco),BRA,Hydro,1970,42327664793.6934
Boa Fé,BRA,Hydro,2011,2616156606734.51
Boa Sorte,BRA,Hydro,2008,1695855391816.48
Boa Vista,BRA,Biomass,2008,1695855391816.48
Boa Vista II,BRA,Hydro,2002,509795270707.268
Boa Vista do Ramos,BRA,Oil,2002,509795270707.268
Boca do Acre,BRA,Oil,1998,863711007338.683
Boca do Córrego,BRA,Wind,2014,2456043766063.5
Bocaiúva,BRA,Hydro,2010,2208838108593.19
Bom Jardim,BRA,Wind,2011,2616156606734.51
Bom Sucesso,BRA,Biomass,2013,2472819362259.0
Bompreço Maceió,BRA,Oil,2013,2472819362259.0
Bompreço Passo Fundo,BRA,Oil,2013,2472819362259.0
Bonfante,BRA,Hydro,2008,1695855391816.48
Bons Ventos,BRA,Wind,2010,2208838108593.19
Boqueirão,BRA,Hydro,2013,2472819362259.0
Borgo,BRA,Wind,2016,1795693265824.27
Bortolo Carolo,BRA,Biomass,1994,546229749726.263
Branco Peres,BRA,Biomass,2005,891633826582.606
Brasil Verde,BRA,Coal,2003,558233724160.742
Braskem PVC-AL,BRA,Gas,1990,464989098144.854
Braço,BRA,Hydro,2011,2616156606734.51
Braço Norte III,BRA,Hydro,2003,558233724160.742
Braço Norte IV,BRA,Hydro,2007,1397114247287.58
Braço Seco,BRA,Hydro,2006,1107626711436.44
Brejauba,BRA,Hydro,2015,1802211999555.59
Brotas,BRA,Biomass,2013,2472819362259.0
Brumado,BRA,Oil,1977,176344101401.941
Bruno Heidrich,BRA,Hydro,1984,188339974086.58
Budai,BRA,Oil,2001,559983704075.658
Buettner,BRA,Oil,2006,1107626711436.44
Buricá,BRA,Hydro,2017,2063514688761.67
Buriti,BRA,Wind,2014,2456043766063.5
Buriti,BRA,Hydro,2007,1397114247287.58
Buriti,BRA,Biomass,2011,2616156606734.51
Buriti,BRA,Biomass,2004,669289321953.683
Buritirana,BRA,Hydro,2008,1695855391816.48
Byk,BRA,Oil,2002,509795270707.268
CAAL,BRA,Biomass,2012,2465228293862.62
CAE South,BRA,Oil,2011,2616156606734.51
CAMPINAS - 1,BRA,Oil,2010,2208838108593.19
CARBOFER,BRA,Oil,2013,2472819362259.0
CARGILL AGRICOLA SA CNPJ: 60.498.706/0130-54,BRA,Oil,2002,509795270707.268
CAS-BC,BRA,Oil,1988,307881930752.268
CATERPILLAR 2500KVA 3412 UNIDADE CAMPO DO MEIO,BRA,Oil,2001,559983704075.658
CATIVA I,BRA,Biomass,2015,1802211999555.59
CATUAÍ MARINGÁ,BRA,Oil,2010,2208838108593.19
CD Cordeirópolis,BRA,Oil,2015,1802211999555.59
